symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,gate_5m_atr_momentum,gate_vwap_extension,gate_consolidation_coil,gate_volume_ignition,naive_baseline_fired,data_source_flags
TATACHEM,2026-06-05 10:15:00 IST,SIDEWAYS,2026-06-05 10:20:00 IST,723.84,708.15,755.21,755.22,763.07,770.91,2026-06-05 15:20:00 IST,755.22,T1_HIT,2.0,8,75.0,True,True,True,True,True,NONE
TATACHEM,2026-06-26 10:15:00 IST,BULL,2026-06-26 10:20:00 IST,777.68,760.1,812.82,812.84,821.63,830.42,2026-06-26 15:20:00 IST,760.1,SL_HIT,-1.0,17,75.0,True,True,True,True,True,NONE
APCOTEXIND,2025-12-23 10:15:00 IST,SIDEWAYS,2025-12-23 10:20:00 IST,383.65,358.67,433.62,433.61,446.1,458.59,2025-12-23 15:20:00 IST,358.67,SL_HIT,-1.0,9,75.0,True,True,True,True,True,NONE
APCOTEXIND,2026-01-30 10:15:00 IST,SIDEWAYS,2026-01-30 10:20:00 IST,365.67,338.72,419.57,419.57,433.04,446.52,2026-01-30 15:20:00 IST,361.79,HORIZON_REACHED,-0.144,20,75.0,True,True,True,True,True,NONE
JKTYRE,2025-10-20 10:15:00 IST,BULL,2025-10-20 10:20:00 IST,418.45,369.7,515.95,515.95,540.33,564.7,2025-10-20 15:20:00 IST,446.58,HORIZON_REACHED,0.577,20,75.0,True,True,True,True,True,NONE
JKTYRE,2025-11-04 10:15:00 IST,BULL,2025-11-04 10:20:00 IST,453.3,418.82,522.26,522.26,539.5,556.74,2025-11-04 15:20:00 IST,464.51,HORIZON_REACHED,0.325,20,75.0,True,True,True,True,True,NONE
JKTYRE,2025-12-03 10:15:00 IST,BULL,2025-12-03 10:20:00 IST,464.5,440.99,511.52,511.52,523.27,535.03,2025-12-03 15:20:00 IST,440.99,SL_HIT,-1.0,4,75.0,True,True,True,True,True,NONE
JKTYRE,2026-01-22 10:15:00 IST,BULL,2026-01-22 10:20:00 IST,520.2,487.24,586.13,586.12,602.6,619.08,2026-01-22 15:20:00 IST,586.12,T1_HIT,2.0,12,75.0,True,True,True,True,True,NONE
CHOLAFIN,2026-06-12 10:15:00 IST,SIDEWAYS,2026-06-12 10:20:00 IST,1567.48,1443.96,1814.53,1814.52,1876.28,1938.04,2026-06-12 15:20:00 IST,1814.52,T1_HIT,2.0,9,75.0,True,True,True,True,True,NONE
SAPPHIRE,2025-12-23 10:15:00 IST,BEAR,2025-12-23 10:20:00 IST,247.31,220.6,300.73,300.73,314.09,327.44,2025-12-23 15:20:00 IST,220.6,SL_HIT,-1.0,11,75.0,True,True,True,True,True,NONE
SAPPHIRE,2025-12-31 10:15:00 IST,BEAR,2025-12-31 10:20:00 IST,257.05,235.75,299.65,299.65,310.3,320.95,2025-12-31 15:20:00 IST,235.75,SL_HIT,-1.0,3,75.0,True,True,True,True,True,NONE
SAPPHIRE,2026-02-05 10:15:00 IST,BEAR,2026-02-05 10:20:00 IST,217.47,178.36,295.69,295.69,315.24,334.8,2026-02-05 15:20:00 IST,193.38,HORIZON_REACHED,-0.616,20,75.0,True,True,True,True,True,NONE
SUDEEPPHRM,2026-07-31 10:15:00 IST,BULL,2026-07-31 10:20:00 IST,3020.36,2934.87,3191.34,3191.34,3234.09,3276.83,2026-07-31 15:20:00 IST,2934.87,SL_HIT,-1.0,13,75.0,True,True,True,True,True,NONE
SUPRIYA,2025-10-20 10:15:00 IST,BULL,2025-10-20 10:20:00 IST,749.8,698.98,851.43,851.44,876.85,902.26,2025-10-20 15:20:00 IST,698.98,SL_HIT,-1.0,4,75.0,True,True,True,True,True,NONE
SUPRIYA,2026-04-27 10:15:00 IST,SIDEWAYS,2026-04-27 10:20:00 IST,704.45,612.41,888.53,888.53,934.55,980.57,2026-04-27 15:20:00 IST,766.12,HORIZON_REACHED,0.67,20,75.0,True,True,True,True,True,NONE
RHIM,2026-02-13 10:15:00 IST,BULL,2026-02-13 10:20:00 IST,1343.03,1303.12,1422.84,1422.85,1442.81,1462.76,2026-02-13 15:20:00 IST,1411.08,HORIZON_REACHED,1.705,20,75.0,True,True,True,True,True,NONE
CYIENT,2025-12-02 10:15:00 IST,SIDEWAYS,2025-12-02 10:20:00 IST,1178.8,1098.57,1339.26,1339.26,1379.38,1419.49,2025-12-02 15:20:00 IST,1098.57,SL_HIT,-1.0,18,75.0,True,True,True,True,True,NONE
TATACAP,2026-06-19 10:15:00 IST,BULL,2026-06-19 10:20:00 IST,366.8,321.34,457.72,457.72,480.45,503.18,2026-06-19 15:20:00 IST,354.21,HORIZON_REACHED,-0.277,20,75.0,True,True,True,True,True,NONE
