symbol,variant_id,scan_date,partition,regime,entry_price,stop_loss,target_1,realized_rr,exit_reason,holding_period_bars
AETHER,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-07-31,HOLDOUT,BULL,1539.6,1434.03,1961.89,0.815,HORIZON_REACHED,25
AETHER,MULTIBAGGER_CHAMPION_V1,2026-07-31,HOLDOUT,BULL,1539.6,1434.03,1961.89,0.815,HORIZON_REACHED,25
WABAG,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-06-19,HOLDOUT,BULL,1978.77,1853.42,2480.18,-0.592,HORIZON_REACHED,40
WABAG,MULTIBAGGER_CHAMPION_V1,2026-06-19,HOLDOUT,BULL,1978.77,1853.42,2480.18,-0.592,HORIZON_REACHED,40
BSOFT,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-01-09,VAL,BULL,1160.07,1143.26,1227.32,-1.0,SL_HIT,2
BSOFT,MULTIBAGGER_CHAMPION_V1,2026-01-09,VAL,BULL,1160.07,1143.26,1227.32,-1.0,SL_HIT,2
REDINGTON,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-06-18,HOLDOUT,BULL,266.11,243.96,354.7,4.0,T1_HIT,32
REDINGTON,MULTIBAGGER_CHAMPION_V1,2026-06-18,HOLDOUT,BULL,266.11,243.96,354.7,4.0,T1_HIT,32
REDINGTON,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-07-30,HOLDOUT,BULL,310.95,289.46,396.89,2.809,HORIZON_REACHED,26
REDINGTON,MULTIBAGGER_CHAMPION_V1,2026-07-30,HOLDOUT,BULL,310.95,289.46,396.89,2.809,HORIZON_REACHED,26
CDSL,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-07-10,HOLDOUT,BULL,1418.96,1354.56,1676.55,-1.0,SL_HIT,8
CDSL,MULTIBAGGER_CHAMPION_V1,2026-07-10,HOLDOUT,BULL,1418.96,1354.56,1676.55,-1.0,SL_HIT,8
KITEX,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2025-09-19,DEV,BULL,2062.38,2030.64,2189.36,-1.0,SL_HIT,10
