scanner,ctype,combo,be,n,nc,wr,er,pf,mdd,r5,lock_n,lock_er,lock_pf,dwr,der,ci_lo,ci_hi,adv_er,sev_er,v512_wr,v512_er,v58_wr,v58_er
EOD_BREAKOUT,SINGLE,G8_NON_BEAR,0.0,10497,10497,41.55,-0.071,0.872,1144.07,0.0,2412,0.1241,1.246,-3.37,-0.221,-0.0945,-0.0476,-0.156,-0.241,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G8_NON_BEAR,0.5,10497,10497,41.55,0.0379,1.085,940.81,0.0,2412,0.2435,1.633,-3.37,-0.1121,0.0156,0.0603,-0.0443,-0.1265,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G8_NON_BEAR,0.8,10497,10497,41.55,0.0231,1.05,990.77,0.0,2412,0.2287,1.572,-3.37,-0.1269,0.0006,0.0456,-0.0595,-0.1421,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G8_NON_BEAR,1.0,10497,10497,41.55,0.0129,1.027,1028.94,0.0,2412,0.2088,1.498,-3.37,-0.1371,-0.0096,0.0355,-0.0699,-0.1527,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G8_NON_BEAR,1.2,10497,10497,41.55,0.0032,1.007,1063.16,0.0,2412,0.1996,1.466,-3.37,-0.1468,-0.0195,0.0259,-0.0799,-0.163,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G8_NON_BEAR,1.5,10497,10497,41.55,-0.009,0.982,1075.64,0.0,2412,0.1873,1.425,-3.37,-0.159,-0.0318,0.0138,-0.0924,-0.1758,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G9_BEAR_NEUTRAL,0.0,2565,2565,37.23,-0.1244,0.789,483.8,0.0,535,0.0958,1.198,-7.69,-0.2744,-0.1721,-0.0767,-0.2102,-0.2961,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G9_BEAR_NEUTRAL,0.5,2565,2565,37.23,-0.001,0.998,347.78,0.0,535,0.2191,1.609,-7.69,-0.151,-0.0463,0.0444,-0.0836,-0.1661,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G9_BEAR_NEUTRAL,0.8,2565,2565,37.23,-0.0168,0.965,388.5,0.0,535,0.1846,1.468,-7.69,-0.1668,-0.0625,0.0288,-0.0998,-0.1827,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G9_BEAR_NEUTRAL,1.0,2565,2565,37.23,-0.0292,0.941,399.1,0.0,535,0.1747,1.432,-7.69,-0.1792,-0.0752,0.0167,-0.1125,-0.1958,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G9_BEAR_NEUTRAL,1.2,2565,2565,37.23,-0.0408,0.919,405.54,0.0,535,0.1509,1.353,-7.69,-0.1908,-0.087,0.0054,-0.1244,-0.208,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G9_BEAR_NEUTRAL,1.5,2565,2565,37.23,-0.0587,0.888,443.64,0.0,535,0.1153,1.249,-7.69,-0.2087,-0.1052,-0.0121,-0.1428,-0.2269,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G13_UPPER_CLOSE,0.0,4218,4218,42.27,-0.0631,0.872,536.0,0.0,1130,0.2079,1.494,-2.65,-0.2131,-0.0969,-0.0293,-0.1456,-0.2281,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G13_UPPER_CLOSE,0.5,4218,4218,42.27,0.0266,1.066,470.67,0.0,1130,0.3209,2.044,-2.65,-0.1234,-0.0056,0.0589,-0.0538,-0.1342,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G13_UPPER_CLOSE,0.8,4218,4218,42.27,0.013,1.031,475.97,0.0,1130,0.2878,1.845,-2.65,-0.137,-0.0195,0.0455,-0.0677,-0.1485,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G13_UPPER_CLOSE,1.0,4218,4218,42.27,0.0053,1.012,488.03,0.0,1130,0.272,1.763,-2.65,-0.1447,-0.0274,0.0379,-0.0756,-0.1565,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G13_UPPER_CLOSE,1.2,4218,4218,42.27,-0.0021,0.995,490.83,0.0,1130,0.2715,1.761,-2.65,-0.1521,-0.0349,0.0307,-0.0832,-0.1643,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G13_UPPER_CLOSE,1.5,4218,4218,42.27,-0.0133,0.97,507.61,0.0,1130,0.257,1.692,-2.65,-0.1633,-0.0463,0.0197,-0.0947,-0.176,44.92,0.15,41.01,-0.074
