symbol,scan_date,next_date,regime,eod_score,est_5m_score,vol_surge,price_move_pct,gap_up_pct,raw_r,realized_r,hit_stop,atr,o_nd,h_nd,l_nd,c_nd,variant_id,sector
JSWSTEEL,2026-06-10,2026-06-11,BEAR,80.0,80.0,1.294,1.288,-0.299,1.37,0.888,0,26.58,1258.77,1286.01,1253.8,1274.98,V1_PROD_BASELINE,METAL
M&M,2026-06-12,2026-06-15,BULL,80.0,80.0,1.686,1.434,1.548,1.3,0.846,0,78.09,3057.89,3134.09,3046.01,3101.73,V1_PROD_BASELINE,AUTO
HAL,2026-06-12,2026-06-15,BULL,80.0,80.0,1.382,1.174,1.019,1.41,0.919,0,102.76,4235.0,4344.0,4202.6,4284.7,V1_PROD_BASELINE,INFRA
HINDALCO,2026-06-16,2026-06-17,BULL,80.0,80.0,1.6,2.325,0.265,1.14,0.738,0,31.07,979.89,1006.35,966.16,1002.67,V1_PROD_BASELINE,METAL
KAYNES,2026-06-16,2026-06-17,BULL,80.0,80.0,1.593,1.732,0.485,0.99,0.297,0,124.73,3193.0,3286.0,3185.7,3248.3,V1_PROD_BASELINE,TECH
TCS,2026-06-18,2026-06-19,BULL,80.0,85.0,3.613,0.95,-4.461,0.79,-1.0,1,55.13,2093.52,2126.34,2048.67,2113.41,V1_PROD_BASELINE,IT
WIPRO,2026-06-18,2026-06-19,BULL,80.0,80.0,1.486,2.286,-3.325,1.32,0.855,0,4.78,176.76,181.48,174.89,180.8,V1_PROD_BASELINE,IT
TECHM,2026-06-18,2026-06-19,BULL,80.0,85.0,2.94,4.415,-6.749,2.16,1.402,0,40.5,1315.81,1381.3,1309.96,1373.9,V1_PROD_BASELINE,IT
MARUTI,2026-06-24,2026-06-25,NEUTRAL,80.0,85.0,2.408,2.897,0.83,2.65,1.721,0,278.72,13225.18,13778.62,13193.5,13608.33,V1_PROD_BASELINE,AUTO
KAYNES,2026-06-24,2026-06-25,NEUTRAL,80.0,85.0,2.717,1.231,0.684,1.75,1.137,0,122.71,3225.0,3386.0,3212.0,3264.7,V1_PROD_BASELINE,TECH
BRITANNIA,2026-06-30,2026-07-01,NEUTRAL,100.0,85.0,1.765,2.244,0.0,2.09,1.355,0,82.81,5146.5,5276.0,5115.0,5262.0,V1_PROD_BASELINE,FMCG
