symbol,timestamp,mfe_pct,mae_pct,mfe_r,mae_r,target_hit_3r,target_hit_2r,target_hit_1r,sl_hit_1r
WAAREERTL,2026-08-20 10:08:34.265213+05:30,44.61011152445354,0.38767193215674245,44.61011152445354,0.3876719321567424,1,1,1,0
WAAREERTL,2026-08-20 10:13:34.265213+05:30,42.462107071919526,-1.1034628440814582,42.46210707191952,-1.1034628440814582,1,1,1,1
WAAREERTL,2026-08-20 10:17:34.202395+05:30,6.341528447563053,-26.17820180055066,6.341528447563052,-26.178201800550656,1,1,1,1
WAAREERTL,2026-08-20 10:22:34.202395+05:30,6.1487521656728505,-26.31202620562638,6.1487521656728505,-26.312026205626385,1,1,1,1
WAAREERTL,2026-08-20 10:32:34.202395+05:30,8.336644155113119,-22.610215030720067,8.336644155113119,-22.610215030720067,1,1,1,1
WAAREERTL,2026-08-20 10:33:34.265213+05:30,38.87189066648391,0.6100672593243754,38.871890666483914,0.6100672593243754,1,1,1,0
SAKSOFT,2026-08-20 07:47:34.637651+05:30,10.327786041169881,-2.596933551766301,10.327786041169881,-2.596933551766301,1,1,1,1
M&M,2026-08-05 15:00:00+05:30,0.09546818858276178,-1.0327755279937492,0.09546818858276178,-1.0327755279937492,0,0,0,1
M&M,2026-08-05 15:05:00+05:30,0.19401590007067657,-0.9353386144098889,0.19401590007067654,-0.9353386144098887,0,0,0,0
M&M,2026-08-05 15:10:00+05:30,-0.028901734104046246,-1.1271676300578035,-0.028901734104046242,-1.1271676300578035,0,0,0,1
M&M,2026-08-05 15:15:00+05:30,-0.21705157758767235,-0.995540409676374,-0.21705157758767238,-0.9955404096763741,0,0,0,0
M&M,2026-08-06 09:20:00+05:30,0.5952944954833022,-0.17216442008460464,0.5952944954833022,-0.17216442008460464,0,0,0,0
M&M,2026-08-06 10:40:00+05:30,0.011613252323217655,-0.8276462901118048,0.011613252323217655,-0.8276462901118048,0,0,0,0
M&M,2026-08-06 11:30:00+05:30,0.23357664233576644,-0.291970802919708,0.23357664233576642,-0.291970802919708,0,0,0,0
M&M,2026-08-06 11:35:00+05:30,0.42710326683076977,-0.09945888254381625,0.42710326683076977,-0.09945888254381625,0,0,0,0
M&M,2026-08-06 11:40:00+05:30,0.4241626444346936,-0.10238408658768466,0.42416264443469354,-0.10238408658768465,0,0,0,0
M&M,2026-08-06 11:45:00+05:30,0.2687058543335174,-0.2015347387688932,0.2687058543335174,-0.20153473876889322,0,0,0,0
M&M,2026-08-06 12:10:00+05:30,0.14878198901790926,-0.32089618464293534,0.14878198901790926,-0.32089618464293534,0,0,0,0
M&M,2026-08-06 13:15:00+05:30,0.6630239651726837,-0.5169831300729669,0.6630239651726837,-0.5169831300729669,0,0,0,0
M&M,2026-08-06 13:20:00+05:30,0.8804545027688719,-0.3714848144986126,0.8804545027688718,-0.3714848144986126,0,0,0,0
M&M,2026-08-06 13:25:00+05:30,0.9673017505152289,-0.46465129891320706,0.9673017505152289,-0.46465129891320717,0,0,0,0
M&M,2026-08-06 13:30:00+05:30,0.7141816061798572,-0.7141816061798572,0.7141816061798572,-0.7141816061798572,0,0,0,0
M&M,2026-08-06 13:35:00+05:30,0.8346981809299832,-0.5953742390021642,0.8346981809299832,-0.5953742390021642,0,0,0,0
M&M,2026-08-06 13:45:00+05:30,1.076591461991821,-0.3569115717672526,1.0765914619918209,-0.3569115717672526,0,0,1,0
M&M,2026-08-06 13:50:00+05:30,1.0647604663881372,-0.3685747761163545,1.0647604663881372,-0.3685747761163545,0,0,1,0
M&M,2026-08-06 13:55:00+05:30,0.9756425611132482,-0.5082637973973642,0.9756425611132482,-0.5082637973973642,0,0,0,0
M&M,2026-08-06 14:35:00+05:30,1.1085479998520402,-0.3773114952826423,1.1085479998520402,-0.37731149528264224,0,0,1,0
M&M,2026-08-06 15:00:00+05:30,1.3184881336067975,-0.20509815411661297,1.3184881336067975,-0.20509815411661295,0,0,1,0
M&M,2026-08-06 15:05:00+05:30,1.2532223424704254,-0.26938250478476883,1.2532223424704256,-0.2693825047847689,0,0,1,0
M&M,2026-08-06 15:10:00+05:30,1.2888107791446983,-0.23432923257176333,1.2888107791446983,-0.23432923257176333,0,0,1,0
M&M,2026-08-07 09:15:00+05:30,0.6549265026924757,-0.02328769693276088,0.6549265026924755,-0.023287696932760876,0,0,0,0
M&M,2026-08-07 09:20:00+05:30,0.7262797151423149,-0.06972001562352496,0.7262797151423149,-0.06972001562352496,0,0,0,0
M&M,2026-08-07 09:25:00+05:30,0.7731166878052733,-0.023253176928931564,0.7731166878052733,-0.023253176928931564,0,0,0,0
M&M,2026-08-07 09:45:00+05:30,0.7101243241215969,-0.2985434780608862,0.7101243241215969,-0.29854347806088616,0,0,0,0
M&M,2026-08-07 10:15:00+05:30,1.0230164692035353,-0.02906300819021966,1.023016469203535,-0.029063008190219657,0,0,1,0
M&M,2026-08-07 10:40:00+05:30,1.4184411758319224,-0.008714239507324716,1.4184411758319224,-0.008714239507324716,0,0,1,0
M&M,2026-08-07 11:00:00+05:30,0.9957132643731006,-0.3097126033532518,0.9957132643731006,-0.30971260335325174,0,0,0,0
M&M,2026-08-07 11:20:00+05:30,1.5758786196591978,-0.011605837693847779,1.575878619659198,-0.01160583769384778,0,0,1,0
M&M,2026-08-07 11:25:00+05:30,1.0305097903962241,-0.12123520228265808,1.030509790396224,-0.12123520228265808,0,0,1,0
M&M,2026-08-07 11:30:00+05:30,1.0392609699769053,-0.11258378590502309,1.0392609699769053,-0.11258378590502309,0,0,1,0
M&M,2026-08-07 11:45:00+05:30,0.8558323705151746,-0.13831797713704652,0.8558323705151746,-0.13831797713704652,0,0,0,0
M&M,2026-08-07 11:55:00+05:30,0.7629192457175759,-0.2303152439902116,0.762919245717576,-0.2303152439902116,0,0,0,0
M&M,2026-08-07 12:25:00+05:30,0.8170588130350124,-0.02588976578822677,0.8170588130350124,-0.02588976578822677,0,0,0,0
M&M,2026-08-07 13:10:00+05:30,0.4586761395532793,-0.13187218965855235,0.4586761395532793,-0.13187218965855238,0,0,0,0
M&M,2026-08-07 13:15:00+05:30,0.8708078586006874,-0.20911053646877684,0.8708078586006874,-0.20911053646877684,0,0,0,0
M&M,2026-08-07 13:20:00+05:30,0.8828865780899148,-0.4628689855108859,0.8828865780899147,-0.46286898551088584,0,0,0,0
M&M,2026-08-07 13:25:00+05:30,1.0297482837528604,-0.35183206030105835,1.0297482837528604,-0.35183206030105835,0,0,1,0
M&M,2026-08-07 13:50:00+05:30,1.0875787063537492,-0.29479246789138525,1.0875787063537494,-0.29479246789138525,0,0,1,0
M&M,2026-08-07 14:10:00+05:30,1.0326410556562982,-0.34897884701148935,1.0326410556562984,-0.34897884701148935,0,0,1,0
M&M,2026-08-07 14:15:00+05:30,0.9258172773926038,-0.45434181165509846,0.9258172773926039,-0.45434181165509846,0,0,0,0
M&M,2026-08-07 14:20:00+05:30,1.2179395328843674,-0.11176106444332999,1.2179395328843672,-0.11176106444332998,0,0,1,0
M&M,2026-08-07 15:00:00+05:30,0.9142857142857144,-0.1028599330357143,0.9142857142857143,-0.10285993303571428,0,0,0,0
M&M,2026-08-07 15:05:00+05:30,0.9171718778229566,-0.10000286001483022,0.9171718778229567,-0.10000286001483023,0,0,0,0
M&M,2026-08-07 15:10:00+05:30,0.9142857142857144,-0.07142857142857142,0.9142857142857143,-0.07142857142857142,0,0,0,0
M&M,2026-08-07 15:15:00+05:30,0.8566533409480296,-0.12849800114220444,0.8566533409480296,-0.12849800114220444,0,0,0,0
M&M,2026-08-10 11:25:00+05:30,0.15307580775206675,-0.4450673227651645,0.15307580775206675,-0.4450673227651645,0,0,0,0
M&M,2026-08-10 11:35:00+05:30,0.18147513657710504,-0.41683760294425304,0.18147513657710504,-0.41683760294425304,0,0,0,0
M&M,2026-08-10 12:15:00+05:30,0.13350237670430337,-0.2499658806455049,0.13350237670430337,-0.2499658806455049,0,0,0,0
M&M,2026-08-10 12:20:00+05:30,0.3244323007950307,-0.05976713606542285,0.32443230079503077,-0.05976713606542285,0,0,0,0
M&M,2026-08-10 12:25:00+05:30,0.2189040844882729,-0.1648912246801706,0.2189040844882729,-0.16489122468017056,0,0,0,0
M&M,2026-08-10 13:10:00+05:30,0.14772588556463068,-0.7386363636363636,0.14772588556463068,-0.7386363636363635,0,0,0,0
M&M,2026-08-10 13:20:00+05:30,0.09085608097316865,-0.9085746734809768,0.09085608097316866,-0.9085746734809768,0,0,0,0
M&M,2026-08-10 14:00:00+05:30,0.1023802114728323,-0.7507650744204021,0.10238021147283231,-0.7507650744204021,0,0,0,0
M&M,2026-08-10 14:10:00+05:30,0.1564945226917058,-0.6971119647175985,0.15649452269170577,-0.6971119647175985,0,0,0,0
M&M,2026-08-10 14:15:00+05:30,0.09953078344945257,-0.7535902175458553,0.09953078344945258,-0.7535902175458553,0,0,0,0
M&M,2026-08-10 14:25:00+05:30,0.0426330161901377,-0.8071823309462822,0.0426330161901377,-0.8071823309462822,0,0,0,0
M&M,2026-08-10 14:30:00+05:30,0.019890627220090936,-0.8240977550440466,0.019890627220090936,-0.8240977550440467,0,0,0,0
M&M,2026-08-10 14:40:00+05:30,0.06823137947954103,-0.7761649119818675,0.06823137947954103,-0.7761649119818674,0,0,0,0
M&M,2026-08-10 14:45:00+05:30,0.06254303260483297,-0.7818052594171997,0.06254303260483297,-0.7818052594171996,0,0,0,0
M&M,2026-08-10 14:50:00+05:30,0.06539431536608149,-0.773341053948679,0.06539431536608148,-0.7733410539486789,0,0,0,0
M&M,2026-08-10 14:55:00+05:30,0.02273705741401878,-0.8156407642065846,0.02273705741401878,-0.8156407642065845,0,0,0,0
M&M,2026-08-10 15:00:00+05:30,0.019900806937114494,-0.773341053948679,0.01990080693711449,-0.7733410539486789,0,0,0,0
M&M,2026-08-10 15:05:00+05:30,0.21370565607636416,-0.5556347057985468,0.21370565607636416,-0.5556347057985468,0,0,0,0
M&M,2026-08-10 15:10:00+05:30,-0.1364813428525732,-0.7676997441000852,-0.1364813428525732,-0.7676997441000852,0,0,0,0
M&M,2026-08-11 10:50:00+05:30,0.13706592884423185,-0.8994860079954312,0.13706592884423185,-0.8994860079954311,0,0,0,0
M&M,2026-08-11 11:00:00+05:30,0.2229222300121463,-0.8173791842312089,0.2229222300121463,-0.8173791842312089,0,0,0,0
M&M,2026-08-11 11:25:00+05:30,0.22005518438962474,-0.8202164702782816,0.2200551843896247,-0.8202164702782816,0,0,0,0
M&M,2026-08-11 11:30:00+05:30,0.2630361080456256,-0.7776816832412292,0.26303610804562555,-0.7776816832412291,0,0,0,0
M&M,2026-08-11 11:35:00+05:30,0.3031891140178353,-0.7379454604556356,0.3031891140178353,-0.7379454604556356,0,0,0,0
M&M,2026-08-11 11:50:00+05:30,0.21146901442783647,-1.0201735202645654,0.21146901442783644,-1.0201735202645654,0,0,0,1
M&M,2026-08-11 12:05:00+05:30,0.2601737651396052,-1.0463977478503417,0.2601737651396052,-1.0463977478503417,0,0,0,1
M&M,2026-08-11 12:10:00+05:30,0.13420379317599748,-1.1707261031013616,0.1342037931759975,-1.1707261031013618,0,0,0,1
M&M,2026-08-11 12:15:00+05:30,0.07135110352076585,-1.3157171360754036,0.07135110352076586,-1.3157171360754036,0,0,0,1
M&M,2026-08-11 12:20:00+05:30,0.14852335057075394,-1.2767471384900924,0.14852335057075391,-1.2767471384900924,0,0,0,1
M&M,2026-08-11 12:40:00+05:30,0.0028596063033534532,-1.2684237110743066,0.0028596063033534532,-1.2684237110743066,0,0,0,1
M&M,2026-08-11 12:50:00+05:30,0.10920233879920366,-0.6782416655335275,0.10920233879920366,-0.6782416655335275,0,0,0,0
M&M,2026-08-11 14:00:00+05:30,0.23367464471635976,-1.4828035942707243,0.2336746447163598,-1.4828035942707243,0,0,0,1
M&M,2026-08-11 14:05:00+05:30,0.26838419021043425,-1.4486884416265267,0.26838419021043425,-1.4486884416265267,0,0,0,1
M&M,2026-08-11 14:25:00+05:30,0.44810638912980627,-1.2720439433362243,0.44810638912980627,-1.2720439433362243,0,0,0,1
M&M,2026-08-11 14:35:00+05:30,0.2857444456705735,-1.4316254764815057,0.28574444567057355,-1.4316254764815057,0,0,0,1
