scanner,combo,ctype,be,n_candidates,n_confirmed,n_executed,funnel_pct,wr,er,pf,dwr,der
EOD_BREAKOUT,G20_BULL_FAST,SINGLE,1.5,10523,2835,2835,26.9,19.19,-0.4158,0.518,-25.73,-0.5658
EOD_BREAKOUT,G21_NONBEAR_ASYM,SINGLE,0.0,10523,3750,3750,35.6,36.53,-0.1431,0.782,-8.39,-0.2931
EOD_BREAKOUT,G21_NONBEAR_ASYM,SINGLE,0.5,10523,3750,3750,35.6,36.53,-0.0138,0.974,-8.39,-0.1638
EOD_BREAKOUT,G21_NONBEAR_ASYM,SINGLE,0.8,10523,3750,3750,35.6,36.53,-0.0318,0.942,-8.39,-0.1818
EOD_BREAKOUT,G21_NONBEAR_ASYM,SINGLE,1.0,10523,3750,3750,35.6,36.53,-0.0434,0.922,-8.39,-0.1934
EOD_BREAKOUT,G21_NONBEAR_ASYM,SINGLE,1.2,10523,3750,3750,35.6,36.53,-0.0543,0.904,-8.39,-0.2043
EOD_BREAKOUT,G21_NONBEAR_ASYM,SINGLE,1.5,10523,3750,3750,35.6,36.53,-0.0711,0.878,-8.39,-0.2211
EOD_BREAKOUT,G22_TRIPLE_BULL,SINGLE,0.0,10523,1374,1374,13.1,19.14,-0.5284,0.458,-25.78,-0.6784
EOD_BREAKOUT,G22_TRIPLE_BULL,SINGLE,0.5,10523,1374,1374,13.1,19.14,-0.3317,0.574,-25.78,-0.4817
EOD_BREAKOUT,G22_TRIPLE_BULL,SINGLE,0.8,10523,1374,1374,13.1,19.14,-0.3572,0.556,-25.78,-0.5072
EOD_BREAKOUT,G22_TRIPLE_BULL,SINGLE,1.0,10523,1374,1374,13.1,19.14,-0.3749,0.544,-25.78,-0.5249
EOD_BREAKOUT,G22_TRIPLE_BULL,SINGLE,1.2,10523,1374,1374,13.1,19.14,-0.3919,0.533,-25.78,-0.5419
EOD_BREAKOUT,G22_TRIPLE_BULL,SINGLE,1.5,10523,1374,1374,13.1,19.14,-0.4173,0.517,-25.78,-0.5673
EOD_BREAKOUT,G1_G5_TIGHT_FAST,PAIR,0.0,10523,2020,2020,19.2,19.16,-0.528,0.458,-25.76,-0.678
EOD_BREAKOUT,G1_G5_TIGHT_FAST,PAIR,0.5,10523,2020,2020,19.2,19.16,-0.3312,0.574,-25.76,-0.4812
EOD_BREAKOUT,G1_G5_TIGHT_FAST,PAIR,0.8,10523,2020,2020,19.2,19.16,-0.3569,0.556,-25.76,-0.5069
EOD_BREAKOUT,G1_G5_TIGHT_FAST,PAIR,1.0,10523,2020,2020,19.2,19.16,-0.3742,0.544,-25.76,-0.5242
EOD_BREAKOUT,G1_G5_TIGHT_FAST,PAIR,1.2,10523,2020,2020,19.2,19.16,-0.391,0.533,-25.76,-0.541
EOD_BREAKOUT,G1_G5_TIGHT_FAST,PAIR,1.5,10523,2020,2020,19.2,19.16,-0.4167,0.518,-25.76,-0.5667
EOD_BREAKOUT,G1_G7_TIGHT_BULL,PAIR,0.0,10523,2892,2892,27.5,38.31,-0.1306,0.798,-6.61,-0.2806
EOD_BREAKOUT,G1_G7_TIGHT_BULL,PAIR,0.5,10523,2892,2892,27.5,38.31,-0.0086,0.984,-6.61,-0.1586
EOD_BREAKOUT,G1_G7_TIGHT_BULL,PAIR,0.8,10523,2892,2892,27.5,38.31,-0.0261,0.952,-6.61,-0.1761
EOD_BREAKOUT,G1_G7_TIGHT_BULL,PAIR,1.0,10523,2892,2892,27.5,38.31,-0.0378,0.932,-6.61,-0.1878
EOD_BREAKOUT,G1_G7_TIGHT_BULL,PAIR,1.2,10523,2892,2892,27.5,38.31,-0.0491,0.913,-6.61,-0.1991
EOD_BREAKOUT,G1_G7_TIGHT_BULL,PAIR,1.5,10523,2892,2892,27.5,38.31,-0.0651,0.888,-6.61,-0.2151
EOD_BREAKOUT,G1_G12_TIGHT_EARLY,PAIR,0.0,10523,1320,1320,12.5,14.85,-0.6807,0.337,-30.07,-0.8307
EOD_BREAKOUT,G1_G12_TIGHT_EARLY,PAIR,0.5,10523,1320,1320,12.5,14.85,-0.4735,0.422,-30.07,-0.6235
EOD_BREAKOUT,G1_G12_TIGHT_EARLY,PAIR,0.8,10523,1320,1320,12.5,14.85,-0.5008,0.409,-30.07,-0.6508
EOD_BREAKOUT,G1_G12_TIGHT_EARLY,PAIR,1.0,10523,1320,1320,12.5,14.85,-0.5185,0.4,-30.07,-0.6685
EOD_BREAKOUT,G1_G12_TIGHT_EARLY,PAIR,1.2,10523,1320,1320,12.5,14.85,-0.537,0.392,-30.07,-0.687
EOD_BREAKOUT,G1_G12_TIGHT_EARLY,PAIR,1.5,10523,1320,1320,12.5,14.85,-0.5635,0.381,-30.07,-0.7135
