symbol,pattern,signal_date,year,period,regime,score,entry,stop,target,risk_pct,clv,rvol,upper_wick_pct,outcome,r_multiple,holding_bars,pnl_pct,mfe,mae,exit_date,exit_price,exit_reason
KPITTECH,SHAKEOUT_RECLAIM,2026-07-24,2026,OOS_2026,BEAR,95.0,578.32,543.62,630.36,6.0,0.91,1.94,0.09,WIN,1.5,3,9.0,2.27,0.07,2026-07-28,630.36,TARGET_1
KPITTECH,SHAKEOUT_RECLAIM,2026-08-28,2026,OOS_2026,SIDEWAYS,95.0,609.4,574.12,662.32,5.79,0.83,3.13,0.17,LOSS,-0.96,5,-5.57,0.02,0.98,2026-09-03,575.4500122070312,TIMEOUT_20D
KPRMILL,CUP_HANDLE,2025-11-18,2025,VAL_2025,BULL,90.0,1116.02,1055.4,1206.96,5.43,0.86,2.18,0.14,LOSS,-1.0,6,-5.43,0.27,1.12,2025-11-25,1055.4,STOP_LOSS
KPRMILL,SHAKEOUT_RECLAIM,2026-03-12,2026,OOS_2026,SIDEWAYS,95.0,907.41,852.96,989.08,6.0,0.8,6.66,0.2,LOSS,-1.0,1,-6.0,0.0,1.76,2026-03-12,852.96,STOP_LOSS
KPRMILL,DOUBLE_BOTTOM,2026-04-17,2026,OOS_2026,SIDEWAYS,91.0,925.67,870.13,1008.97,6.0,0.87,2.08,0.13,LOSS,-0.08,20,-0.46,1.1,0.8,2026-05-14,921.4254760742188,TIMEOUT_20D
KPRMILL,SHAKEOUT_RECLAIM,2026-05-19,2026,OOS_2026,BULL,87.0,954.55,897.28,1040.46,6.0,0.9,1.38,0.1,WIN,1.5,11,9.0,2.67,0.45,2026-06-02,1040.46,TARGET_1
KPRMILL,WYCKOFF_SPRING_TYPE_2,2026-06-03,2026,OOS_2026,BULL,91.0,1083.42,1018.41,1180.93,6.0,0.79,4.79,0.21,LOSS,-1.0,4,-6.0,0.57,1.02,2026-06-08,1018.41,STOP_LOSS
KPRMILL,HIGHER_LOW_REVERSAL,2026-06-18,2026,OOS_2026,BULL,93.0,1183.8,1112.77,1290.34,6.0,0.86,8.94,0.14,WIN,1.5,4,9.0,2.07,0.88,2026-06-23,1290.34,TARGET_1
KRBL,SHAKEOUT_RECLAIM,2025-11-12,2025,VAL_2025,SIDEWAYS,91.0,389.65,367.01,423.61,5.81,0.91,1.43,0.09,WIN,1.5,2,8.72,2.18,0.6,2025-11-13,423.61,TARGET_1
KRBL,SHAKEOUT_RECLAIM,2025-12-09,2025,VAL_2025,SIDEWAYS,83.0,392.8,369.44,427.84,5.95,0.87,1.35,0.13,LOSS,-0.26,20,-1.54,0.83,0.52,2026-01-06,386.75,TIMEOUT_20D
KRBL,SHAKEOUT_RECLAIM,2026-03-05,2026,OOS_2026,BEAR,83.0,333.45,313.44,363.47,6.0,0.81,1.43,0.19,LOSS,-1.0,2,-6.0,0.56,1.48,2026-03-08,313.44,STOP_LOSS
KRBL,WYCKOFF_SPRING_TYPE_2,2026-04-16,2026,OOS_2026,SIDEWAYS,90.0,353.6,332.38,385.43,6.0,0.8,3.02,0.2,WIN,1.5,11,9.0,1.69,0.51,2026-05-03,385.43,TARGET_1
KRBL,CUP_HANDLE,2026-04-22,2026,OOS_2026,BULL,92.0,376.35,353.77,410.22,6.0,0.9,2.37,0.1,LOSS,-1.0,2,-6.0,0.15,1.02,2026-04-23,353.77,STOP_LOSS
KRBL,SHAKEOUT_RECLAIM,2026-06-18,2026,OOS_2026,BULL,87.0,383.4,360.4,417.9,6.0,0.78,1.66,0.22,LOSS,-1.0,14,-6.0,0.65,1.25,2026-07-07,360.4,STOP_LOSS
KRBL,WYCKOFF_SPRING_TYPE_2,2026-08-03,2026,OOS_2026,SIDEWAYS,94.0,373.7,351.28,407.33,6.0,0.76,2.46,0.24,WIN,1.5,12,9.0,1.71,0.36,2026-08-18,407.33,TARGET_1
KRBL,SHAKEOUT_RECLAIM,2026-08-17,2026,OOS_2026,BULL,85.0,395.7,371.96,431.31,6.0,0.84,1.75,0.16,WIN,1.5,5,9.0,2.03,0.22,2026-08-23,431.31,TARGET_1
KRISHANA,SHAKEOUT_RECLAIM,2025-12-09,2025,VAL_2025,BEAR,89.0,99.08,93.46,107.5,5.67,0.81,1.76,0.19,WIN,1.5,3,8.5,1.53,0.09,2025-12-11,107.5,TARGET_1
KRISHANA,V_REVERSAL,2025-12-15,2025,VAL_2025,SIDEWAYS,86.0,106.37,99.99,115.94,6.0,0.82,1.52,0.18,LOSS,-1.0,18,-6.0,0.59,1.01,2026-01-08,99.99,STOP_LOSS
KRISHANA,SHAKEOUT_RECLAIM,2025-12-22,2025,VAL_2025,SIDEWAYS,89.0,107.67,101.21,117.36,6.0,0.86,1.63,0.14,LOSS,-1.0,13,-6.0,0.38,1.2,2026-01-08,101.21,STOP_LOSS
KRISHANA,WYCKOFF_SPRING_TYPE_2,2026-02-11,2026,OOS_2026,SIDEWAYS,89.0,104.07,97.83,113.44,6.0,0.78,1.79,0.22,LOSS,-1.0,12,-6.0,0.54,1.2,2026-02-26,97.83,STOP_LOSS
