symbol,pattern,signal_date,year,period,regime,score,entry,stop,target,risk_pct,clv,rvol,upper_wick_pct,outcome,r_multiple,holding_bars,pnl_pct,mfe,mae,exit_date,exit_price,exit_reason
KSCL,HIGHER_LOW_REVERSAL,2026-04-29,2026,OOS_2026,BULL,87.0,1541.02,1468.63,1649.59,4.7,0.77,1.42,0.23,SCRATCH,0.58,25,2.72,0.62,0.77,2026-06-03,1582.88,TIME_EXPIRY
LAURUSLABS,HIGHER_LOW_REVERSAL,2026-06-01,2026,OOS_2026,BULL,79.0,1388.4,1325.44,1482.84,4.53,0.75,1.31,0.25,WIN,2.0,20,9.07,2.27,0.72,2026-06-29,1514.32,TARGET_1
LENSKART,HIGHER_LOW_REVERSAL,2025-12-26,2025,VAL_2025,BULL,80.0,1978.9,1860.16,2157.0,6.0,0.79,1.26,0.21,LOSS,-1.0,6,-6.0,0.0,1.18,2026-01-05,1860.16,STOP_LOSS
LINDEINDIA,HIGHER_LOW_REVERSAL,2026-02-09,2026,OOS_2026,BULL,88.0,6292.5,5914.95,6858.83,6.0,0.86,1.58,0.14,WIN,2.38,22,14.26,2.47,0.0,2026-03-12,7189.5,TARGET_1
LUMAXTECH,HIGHER_LOW_REVERSAL,2026-01-02,2026,OOS_2026,BULL,88.0,1655.4,1556.08,1804.38,6.0,0.88,1.72,0.12,LOSS,-1.0,4,-6.0,0.48,1.06,2026-01-08,1556.08,STOP_LOSS
LUPIN,HIGHER_LOW_REVERSAL,2025-11-12,2025,VAL_2025,BULL,87.0,2019.26,1920.45,2167.47,4.89,0.91,1.4,0.09,SCRATCH,0.8,25,3.89,0.95,0.51,2025-12-17,2097.89,TIME_EXPIRY
LUPIN,HIGHER_LOW_REVERSAL,2026-02-25,2026,OOS_2026,BULL,81.0,2275.7,2178.28,2421.83,4.28,0.83,1.33,0.17,LOSS,-1.0,23,-4.28,0.87,1.24,2026-04-02,2178.28,STOP_LOSS
M&M,HIGHER_LOW_REVERSAL,2025-11-11,2025,VAL_2025,BULL,82.0,3710.14,3487.53,4044.05,6.0,0.89,1.33,0.11,LOSS,-0.57,25,-3.42,0.2,0.76,2025-12-16,3583.37,TIME_EXPIRY
MAHSEAMLES,HIGHER_LOW_REVERSAL,2026-03-25,2026,OOS_2026,BULL,83.0,579.75,544.96,631.93,6.0,0.93,1.3,0.07,WIN,2.0,13,12.0,2.1,0.87,2026-04-17,649.33,TARGET_1
MAHSCOOTER,HIGHER_LOW_REVERSAL,2026-05-06,2026,OOS_2026,SIDEWAYS,84.0,1927.93,1868.29,2017.39,3.09,0.74,1.91,0.26,LOSS,-1.0,18,-3.5,0.28,1.04,2026-06-01,1860.45,STOP_LOSS
MAPMYINDIA,HIGHER_LOW_REVERSAL,2026-07-02,2026,OOS_2026,SIDEWAYS,90.0,914.35,859.49,996.64,6.0,0.84,6.03,0.16,WIN,3.0,5,18.0,3.27,0.14,2026-07-09,1078.93,TARGET_2
MARICO,HIGHER_LOW_REVERSAL,2026-05-05,2026,OOS_2026,BULL,92.0,807.2,761.82,875.27,5.62,0.93,2.89,0.07,SCRATCH,0.13,25,0.74,0.92,0.27,2026-06-09,813.2,TIME_EXPIRY
MARKSANS,HIGHER_LOW_REVERSAL,2026-05-07,2026,OOS_2026,BULL,86.0,203.02,190.84,221.29,6.0,0.84,1.95,0.16,WIN,3.0,13,18.0,4.58,0.76,2026-05-26,239.56,TARGET_2
MARKSANS,HIGHER_LOW_REVERSAL,2026-05-18,2026,OOS_2026,BULL,90.0,217.62,204.56,237.21,6.0,0.85,2.95,0.15,WIN,3.0,6,18.0,3.15,0.58,2026-05-26,256.8,TARGET_2
