symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,gate_pattern_type,gate_clv_floor,gate_rvol_floor,gate_upper_wick,gate_risk_pct,naive_baseline_fired,data_source_flags
ABSLAMC,2026-06-09 15:30:00 IST,BULL,2026-06-09 09:15:00 IST,1036.43,980.13,1120.88,1149.03,1177.18,1205.33,2026-06-14 15:30:00 IST,1120.88,TARGET_1,1.5,4,91.0,DOUBLE_BOTTOM,True,True,True,5.43,True,NONE
ABSLAMC,2026-06-15 15:30:00 IST,BULL,2026-06-15 09:15:00 IST,1118.08,1052.19,1216.92,1249.86,1282.8,1315.75,2026-07-12 15:30:00 IST,1145.01,TIMEOUT_20D,0.41,20,89.0,DOUBLE_BOTTOM,True,True,True,5.89,True,NONE
ABSLAMC,2026-07-13 15:30:00 IST,BULL,2026-07-13 09:15:00 IST,1145.01,1082.5,1238.77,1270.03,1301.28,1332.54,2026-07-20 15:30:00 IST,1082.5,STOP_LOSS,-1.0,6,86.0,CUP_HANDLE,True,True,True,5.46,True,NONE
ABSLAMC,2026-08-26 15:30:00 IST,SIDEWAYS,2026-08-26 09:15:00 IST,1033.5,988.13,1101.56,1124.24,1146.92,1169.61,2026-09-10 15:30:00 IST,1101.56,TARGET_1,1.5,11,96.0,DOUBLE_BOTTOM,True,True,True,4.39,True,NONE
ABDL,2025-05-13 15:30:00 IST,BULL,2025-05-13 09:15:00 IST,1765.6,1683.24,1889.14,1930.32,1971.5,2012.68,2025-05-19 15:30:00 IST,1683.24,STOP_LOSS,-1.0,4,91.0,MULTI_MONTH_BASE_BREAKOUT,True,True,True,4.66,True,NONE
ABDL,2025-06-12 15:30:00 IST,BULL,2025-06-12 09:15:00 IST,1772.88,1719.13,1853.51,1880.38,1907.26,1934.13,2025-06-27 15:30:00 IST,1719.13,STOP_LOSS,-1.0,11,88.0,ASCENDING_TRIANGLE,True,True,True,3.03,True,NONE
ABDL,2025-08-08 15:30:00 IST,BULL,2025-08-08 09:15:00 IST,1821.83,1767.72,1903.0,1930.05,1957.1,1984.16,2025-08-15 15:30:00 IST,1767.72,STOP_LOSS,-1.0,5,90.0,CUP_HANDLE,True,True,True,2.97,True,NONE
ABDL,2026-01-12 15:30:00 IST,SIDEWAYS,2026-01-12 09:15:00 IST,1659.47,1620.31,1718.21,1737.79,1757.37,1776.95,2026-01-16 15:30:00 IST,1620.31,STOP_LOSS,-1.0,4,77.0,CUP_HANDLE,True,True,True,2.36,True,NONE
ABDL,2026-03-26 15:30:00 IST,BULL,2026-03-26 09:15:00 IST,1714.05,1653.3,1805.18,1835.55,1865.92,1896.3,2026-04-06 15:30:00 IST,1653.3,STOP_LOSS,-1.0,7,88.0,CUP_HANDLE,True,True,True,3.54,True,NONE
ABDL,2026-06-01 15:30:00 IST,SIDEWAYS,2026-06-01 09:15:00 IST,1619.21,1552.69,1718.98,1752.25,1785.51,1818.77,2026-06-29 15:30:00 IST,1664.86,TIMEOUT_20D,0.69,20,84.0,WYCKOFF_SPRING_TYPE_2,True,True,True,4.11,True,NONE
ABDL,2026-07-22 15:30:00 IST,BULL,2026-07-22 09:15:00 IST,1882.63,1813.28,1986.66,2021.33,2056.01,2090.68,2026-07-29 15:30:00 IST,1986.66,TARGET_1,1.5,5,98.0,MULTI_MONTH_BASE_BREAKOUT,True,True,True,3.68,True,NONE
ABCAPITAL,2026-02-10 15:30:00 IST,BEAR,2026-02-10 09:15:00 IST,353.75,332.52,385.6,396.21,406.83,417.44,2026-02-10 15:30:00 IST,385.6,TARGET_1,1.5,1,83.0,WYCKOFF_SPRING_TYPE_2,True,True,True,6.0,True,NONE
ABCAPITAL,2026-02-24 15:30:00 IST,BEAR,2026-02-24 09:15:00 IST,349.3,329.44,379.09,389.02,398.95,408.88,2026-02-24 15:30:00 IST,379.09,TARGET_1,1.5,1,93.0,WYCKOFF_SPRING_TYPE_2,True,True,True,5.69,True,NONE
ABCAPITAL,2026-04-08 15:30:00 IST,BEAR,2026-04-08 09:15:00 IST,338.4,318.1,368.85,379.0,389.15,399.3,2026-04-08 15:30:00 IST,368.85,TARGET_1,1.5,1,93.0,WYCKOFF_SPRING_TYPE_2,True,True,True,6.0,True,NONE
ABCAPITAL,2026-04-10 15:30:00 IST,BEAR,2026-04-10 09:15:00 IST,341.9,321.39,372.66,382.92,393.17,403.43,2026-04-10 15:30:00 IST,372.66,TARGET_1,1.5,1,83.0,WYCKOFF_SPRING_TYPE_2,True,True,True,6.0,True,NONE
ABCAPITAL,2026-06-16 15:30:00 IST,SIDEWAYS,2026-06-16 09:15:00 IST,373.8,351.37,407.44,418.66,429.88,441.09,2026-06-16 15:30:00 IST,407.44,TARGET_1,1.5,1,86.0,WYCKOFF_SPRING_TYPE_2,True,True,True,6.0,True,NONE
ABCAPITAL,2026-06-19 15:30:00 IST,BEAR,2026-06-19 09:15:00 IST,375.9,353.35,409.72,421.0,432.27,443.55,2026-06-19 15:30:00 IST,409.72,TARGET_1,1.5,1,90.0,WYCKOFF_SPRING_TYPE_2,True,True,True,6.0,True,NONE
ABCAPITAL,2026-07-17 15:30:00 IST,BEAR,2026-07-17 09:15:00 IST,401.55,382.08,430.75,440.49,450.23,459.96,2026-07-17 15:30:00 IST,430.75,TARGET_1,1.5,1,89.0,WYCKOFF_SPRING_TYPE_2,True,True,True,4.85,True,NONE
ABCAPITAL,2026-08-31 15:30:00 IST,BEAR,2026-08-31 09:15:00 IST,409.4,391.83,435.75,444.54,453.32,462.11,2026-08-31 15:30:00 IST,391.83,STOP_LOSS,-1.0,1,93.0,WYCKOFF_SPRING_TYPE_2,True,True,True,4.29,True,NONE
