symbol,count,mean_R,win_rate
HINDUNILVR,27,0.2023,0.519
INFY,27,0.5175,0.481
WEBELSOLAR,27,-0.1111,0.222
ARE&M,27,0.0526,0.333
PETRONET,27,-0.0551,0.37
PGHH,27,0.0854,0.444
MGL,27,0.0264,0.37
DATAPATTNS,27,0.4815,0.37
SYRMA,27,0.3333,0.333
ABCAPITAL,27,0.5339,0.407
NTPC,27,0.6041,0.519
OFSS,27,0.8,0.519
SBILIFE,26,0.215,0.423
KARURVYSYA,26,0.6796,0.5
KAJARIACER,26,0.3976,0.423
GALAXYSURF,26,0.1387,0.346
MANORAMA,26,1.0,0.5
PATANJALI,26,-0.0418,0.269
PARAS,26,-0.0043,0.269
SUMICHEM,26,0.1835,0.346
EPIGRAL,26,-0.0769,0.231
DABUR,26,-0.0567,0.423
MARUTI,26,0.2136,0.423
HEROMOTOCO,26,0.1789,0.385
WINDLAS,26,0.3918,0.385
ONGC,25,0.4164,0.4
GILLETTE,25,0.4002,0.48
KANSAINER,25,-0.3497,0.2
SUPRIYA,25,0.4927,0.4
KAYNES,25,0.5423,0.4
KIMS,25,0.3064,0.36
SJS,25,0.572,0.44
LUPIN,25,0.4487,0.44
LODHA,25,0.1271,0.28
BAYERCROP,25,-0.1476,0.24
MTARTECH,25,0.76,0.44
EMAMILTD,25,0.227,0.32
ACUTAAS,25,0.6703,0.44
SERVOTECH,25,0.12,0.28
JUBLINGREA,25,-0.1519,0.24
AWHCL,24,-0.1667,0.208
V2RETAIL,24,0.5671,0.417
INDOBORAX,24,0.1667,0.292
TCS,24,0.4909,0.583
COLPAL,24,0.3383,0.5
GPTINFRA,24,0.3333,0.333
PARADEEP,24,0.3098,0.333
VMARCIND,24,0.3333,0.333
WIPRO,24,0.7189,0.542
AAVAS,24,0.0867,0.333
NBCC,24,0.5,0.375
ITC,23,0.3834,0.435
INDOTHAI,23,0.7391,0.435
PRUDENT,23,0.6857,0.478
SANSERA,23,0.5355,0.435
CAMS,23,0.007,0.304
VERANDA,23,-0.3043,0.174
IRCTC,23,0.57,0.391
ANANDRATHI,23,1.3306,0.609
HDFCLIFE,22,0.0584,0.364
MANAKCOAT,22,0.2727,0.318
KRISHANA,22,0.6364,0.409
MBAPL,22,0.5173,0.409
RATEGAIN,22,0.4512,0.409
AVALON,21,0.3333,0.333
CRAFTSMAN,21,0.5738,0.429
AEROENTER,21,-0.4286,0.143
STOVEKRAFT,21,-0.2381,0.19
AEROFLEX,21,0.3333,0.333
DODLA,21,0.3637,0.333
STYLAMIND,21,0.6692,0.429
SPORTKING,20,0.2946,0.35
HARIOMPIPE,20,0.0,0.25
STEELCAS,20,0.9355,0.6
GODREJAGRO,20,0.0435,0.35
NGLFINE,20,0.5429,0.4
PIXTRANS,20,0.6564,0.45
METROBRAND,19,-0.4432,0.158
ORIANA,19,-0.3684,0.158
MONARCH,19,0.6842,0.421
EMUDHRA,18,0.3333,0.333
SANDUMA,18,-0.0977,0.222
KRSNAA,18,-0.1111,0.222
LLOYDSME,18,0.5556,0.389
SHYAMMETL,18,0.4804,0.389
NETWEB,17,0.4118,0.353
ROLEXRINGS,17,0.3711,0.412
UTIAMC,17,-0.0077,0.294
GLAND,17,-0.1474,0.235
KRISHIVAL,17,-0.0588,0.235
HARSHA,16,-0.3969,0.188
IONEXCHANG,16,0.3598,0.375
RISHABH,16,0.5,0.375
NUVAMA,15,0.1502,0.333
APTUS,15,-0.364,0.2
CHOICEIN,15,1.6348,0.733
INNOVACAP,15,0.0982,0.267
AIMTRON,15,0.6,0.4
TMB,14,0.4286,0.357
SENCO,14,0.1429,0.286
SONACOMS,14,0.473,0.357
SBICARD,14,-0.0592,0.357
NINSYS,14,0.008,0.286
RATNAVEER,14,-0.1429,0.214
IPL,13,0.2308,0.308
