scanner,symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,gate_20d_high,gate_vol_surge,gate_rsi_corridor,gate_candle_struct,gate_atr_tightness,gate_52w_prox,naive_baseline_fired,data_source_flags
EOD,GAIL,2022-03-07 15:30:00 IST,BULL,2022-03-07 09:15:00 IST,102.25,96.7,110.57,113.35,116.12,118.9,2022-03-10 15:30:00 IST,96.7,STOP_LOSS,-1.0,3,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,GAIL,2023-07-06 15:30:00 IST,BULL,2023-07-06 09:15:00 IST,105.3,102.57,109.4,110.76,112.12,113.49,2023-07-11 15:30:00 IST,102.57,STOP_LOSS,-1.0,3,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,GAIL,2023-09-01 15:30:00 IST,BULL,2023-09-01 09:15:00 IST,115.85,111.78,121.95,123.99,126.02,128.06,2023-09-11 15:30:00 IST,123.99,TARGET,2.0,6,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,GAIL,2023-11-30 15:30:00 IST,BULL,2023-11-30 09:15:00 IST,126.4,122.52,132.22,134.16,136.1,138.04,2023-12-04 15:30:00 IST,134.16,TARGET,2.0,2,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,GAIL,2024-06-03 15:30:00 IST,BULL,2024-06-03 09:15:00 IST,230.8,218.52,249.22,255.36,261.5,267.64,2024-06-04 15:30:00 IST,218.52,STOP_LOSS,-1.0,1,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,GAIL,2025-10-29 15:30:00 IST,BULL,2025-10-29 09:15:00 IST,184.64,179.41,192.48,195.1,197.71,200.32,2025-11-03 15:30:00 IST,179.41,STOP_LOSS,-1.0,3,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,GAIL,2026-01-02 15:30:00 IST,BULL,2026-01-02 09:15:00 IST,175.38,171.32,181.48,183.51,185.54,187.58,2026-01-06 15:30:00 IST,171.32,STOP_LOSS,-1.0,2,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,GANDHITUBE,2018-05-25 15:30:00 IST,BULL,2018-05-25 09:15:00 IST,402.6,387.62,425.08,432.57,440.06,447.56,2018-05-31 15:30:00 IST,387.62,STOP_LOSS,-1.0,4,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,GANDHITUBE,2026-02-09 15:30:00 IST,BULL,2026-02-09 09:15:00 IST,799.65,748.38,876.56,902.2,927.83,953.47,2026-02-17 15:30:00 IST,902.2,TARGET,2.0,6,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,GANESHHOU,2017-07-05 15:30:00 IST,BULL,2017-07-05 09:15:00 IST,139.85,130.87,153.32,157.81,162.3,166.79,2017-07-10 15:30:00 IST,157.81,TARGET,2.0,3,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,GANESHHOU,2021-09-03 15:30:00 IST,BULL,2021-09-03 09:15:00 IST,142.9,129.0,163.76,170.71,177.66,184.62,2021-09-13 15:30:00 IST,170.71,TARGET,2.0,6,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
